 Time	               Bundle ID	              Status	Comment
0.000	                       -	                   -	TALagent Started (system uptime: 882.12 sec)
0.004	                       -	                   -	Liveness: 0 -> 1 (run_as_server)
0.005	                       -	                   -	Liveness: 1 -> 2 (create_xpc_listener)
0.005	                       -	                   -	Blocking app contact
0.014	                       -	                   -	SecItemCopyMatching() returned errSecItemNotFound. Will attempt to regenerate the key.
0.014	                       -	                   -	Creating a new encryption key
3.005	                       -	                   -	Allowing apps to contact us
3.005	                       -	                   -	Liveness: 2 -> 1 (__create_xpc_listener_block_invoke)
3.005	                       -	                   -	Refusing connection from pid 514 (app was (null))
14.681	                       -	                   -	server_show_windows_for_asns start
14.681	                       -	                   -	TAL launch still in progress because Finder has not checked in
14.681	                       -	                   -	Still waiting for registration from Finder
14.681	                       -	                   -	Liveness: 1 -> 2 (add_app)
14.681	                       -	                   -	Finder not yet launched, but pretending it is
14.681	                       -	                   -	loginwindow launched no apps (but we still have to handle Finder)
14.682	                       -	                   -	Bitmaps Ready (0 apps, 0 windows)
14.682	        com.apple.finder	                   -	Disposing because it has no windows
14.682	        com.apple.finder	            Disposed	
14.682	                       -	                   -	server_show_windows_for_asns end
14.744	                       -	                   -	TAL launch still in progress because Finder has not checked in
14.744	                       -	                   -	Still waiting for registration from Finder
14.758	                       -	                   -	TAL launch still in progress because Finder has not checked in
14.758	                       -	                   -	Still waiting for registration from Finder
14.840	        com.apple.finder	                   -	Finder checked in
14.840	                       -	                   -	All started apps have registered (no remaining unregistered apps)
14.841	                       -	                   -	TAL Relaunch - all apps registered as ready
15.004	                       -	                   -	Liveness: 2 -> 1 (__run_as_server_block_invoke)
16.682	                       -	                   -	Liveness: 1 -> 0 (__remove_app_block_invoke)
16.682	                       -	                   -	Exiting out of boredom
